A201	FISHER	Apr 08, 2016 09:36:49 AM
395	LITTLE	Apr 08, 2016 09:38:41 AM
459	BLOOMBERG	Apr 08, 2016 09:40:41 AM
192	BLOOMBERG	Apr 08, 2016 09:41:28 AM
077	LITTLE	Apr 08, 2016 09:42:31 AM
B312	WENDELL	Apr 08, 2016 09:42:53 AM
447	BLOOMBERG	Apr 08, 2016 09:46:34 AM
379	BLOOMBERG	Apr 08, 2016 09:48:19 AM
E215	BAKER	Apr 08, 2016 09:49:43 AM
E217	BAKER	Apr 08, 2016 09:49:46 AM
303	LITTLE	Apr 08, 2016 09:50:08 AM
S106	BAKER	Apr 08, 2016 09:52:26 AM
235	JOLINE	Apr 08, 2016 09:55:14 AM
D314	LAURITZEN	Apr 08, 2016 09:56:20 AM
S204	BAKER	Apr 08, 2016 10:02:02 AM
407	BLOOMBERG	Apr 08, 2016 10:02:16 AM
E206	BAKER	Apr 08, 2016 10:03:15 AM
225	JOLINE	Apr 08, 2016 10:07:02 AM
D311	LAURITZEN	Apr 08, 2016 10:07:31 AM
349	BLOOMBERG	Apr 08, 2016 10:08:34 AM
469	BLOOMBERG	Apr 08, 2016 10:08:41 AM
A101	FISHER	Apr 08, 2016 10:10:03 AM
D316	1976	Apr 08, 2016 10:10:41 AM
A225	FISHER	Apr 08, 2016 10:14:56 AM
449	BLOOMBERG	Apr 08, 2016 10:19:19 AM
443	BLOOMBERG	Apr 08, 2016 10:19:23 AM
F229	1981	Apr 08, 2016 10:26:19 AM
B83	BLAIR	Apr 08, 2016 10:43:43 AM
T402	MURLEY	Apr 08, 2016 10:43:59 AM
G405	HARGADON	Apr 08, 2016 10:45:00 AM
048	LITTLE	Apr 08, 2016 10:48:40 AM
479	BLOOMBERG	Apr 08, 2016 10:59:37 AM
F123	1981	Apr 08, 2016 11:10:04 AM
445	BLOOMBERG	Apr 08, 2016 11:12:23 AM
085	LITTLE	Apr 08, 2016 11:22:20 AM
E308	WILF	Apr 08, 2016 11:41:40 AM
E306	WILF	Apr 08, 2016 11:42:10 AM
248	BLOOMBERG	Apr 08, 2016 11:51:45 AM
324	BLOOMBERG	Apr 08, 2016 11:52:07 AM
302	LITTLE	Apr 08, 2016 12:04:14 PM
106	EDWARDS	Apr 08, 2016 12:35:23 PM
314	BLOOMBERG	Apr 08, 2016 12:55:16 PM
